File	Threads	Time	(ms)			Threads	File	Time	(ms)																										
100.txt	1	1.538			1	100.txt	1.538																												
100.txt	2	1.628			2	100.txt	1.628																												
100.txt	3	1.611			3	100.txt	1.611			Threads	1000.txt	5000.txt	10000.txt	50000.txt	100000.txt	500000.txt	1000000.txt		Threads	1000.txt	5000.txt	10000.txt	50000.txt	100000.txt	500000.txt	1000000.txt		Threads	1000.txt	5000.txt	10000.txt	50000.txt	100000.txt	500000.txt	1000000.txt
100.txt	4	1.711			4	100.txt	1.711			1	1.679	2.424	3.226	10.671	19.467	95.189	188.873		1	0.262	0.61	1.171	6.784	13.834	78.862	165.488		1	0.156045265	0.251650165	0.362988221	0.63574173	0.710638516	0.82847808	0.876186644
100.txt	5	1.663			5	100.txt	1.663			2	1.663	2.029	2.451	6.209	10.835	49.827	99.433		2	0.324	0.562	0.97	5.831	10.739	47.175	89.101		2	0.194828623	0.276983736	0.395756834	0.939120631	0.991139825	0.946775844	0.896090835
100.txt	6	1.72			6	100.txt	1.72			3	1.669	1.917	2.223	4.836	8.011	35.24	68.737		3	0.375	0.638	0.876	4.574	8.214	34.891	64.181		3	0.22468544	0.332811685	0.394062078	0.945822994	1.025340157	0.990096481	0.933718376
100.txt	7	1.617			7	100.txt	1.617			4	1.674	1.894	2.13	4.245	6.846	28.027	54.597		4	0.391	0.657	1.107	3.982	6.062	30.447	55.899		4	0.233572282	0.3468849	0.51971831	0.938044759	0.885480573	1.08634531	1.023847464
100.txt	8	1.67			8	100.txt	1.67			5	1.697	1.854	2.087	4.047	6.547	25.942	50.224		5	0.44	0.935	1.429	3.669	5.604	27.196	47.056		5	0.259281084	0.504314995	0.684714902	0.90659748	0.855964564	1.048338601	0.936922587
500.txt	1	1.609			1	500.txt	1.609			6	1.694	1.862	2.081	3.884	6.26	24.531	47.029		6	0.678	0.822	0.958	3.5	4.652	24.189	43.404		6	0.400236128	0.441460795	0.460355598	0.901132853	0.74313099	0.986058457	0.9229199
500.txt	2	1.691			2	500.txt	1.691			7	1.687	1.863	2.057	3.747	6.053	22.985	44.333		7	0.429	0.909	1.349	3.765	5.523	21.642	43.44		7	0.25429757	0.487922705	0.655809431	1.004803843	0.912440112	0.94157059	0.979856991
500.txt	3	1.695			3	500.txt	1.695			8	1.71	1.86	2.043	3.681	5.902	22.16	42.85		8	0.479	0.889	1.409	4.283	4.686	22.083	37.923		8	0.280116959	0.477956989	0.689672051	1.163542516	0.793968146	0.996525271	0.885017503
500.txt	4	1.658			4	500.txt	1.658																												
500.txt	5	1.738			5	500.txt	1.738																												
500.txt	6	1.697			6	500.txt	1.697																												
500.txt	7	1.756			7	500.txt	1.756																												
500.txt	8	1.693			8	500.txt	1.693																												
1000.txt	1	1.679			1	1000.txt	1.679																												
1000.txt	2	1.663			2	1000.txt	1.663																												
1000.txt	3	1.669			3	1000.txt	1.669																												
1000.txt	4	1.674			4	1000.txt	1.674																												
1000.txt	5	1.697			5	1000.txt	1.697																												
1000.txt	6	1.694			6	1000.txt	1.694																												
1000.txt	7	1.687			7	1000.txt	1.687																												
1000.txt	8	1.71			8	1000.txt	1.71																												
5000.txt	1	2.424			1	5000.txt	2.424																												
5000.txt	2	2.029			2	5000.txt	2.029																												
5000.txt	3	1.917			3	5000.txt	1.917																												
5000.txt	4	1.894			4	5000.txt	1.894																												
5000.txt	5	1.854			5	5000.txt	1.854																												
5000.txt	6	1.862			6	5000.txt	1.862																												
5000.txt	7	1.863			7	5000.txt	1.863																												
5000.txt	8	1.86			8	5000.txt	1.86																												
10000.txt	1	3.226			1	10000.txt	3.226																												
10000.txt	2	2.451			2	10000.txt	2.451																												
10000.txt	3	2.223			3	10000.txt	2.223																												
10000.txt	4	2.13			4	10000.txt	2.13																												
